id,cntntsNo,cntntsSj,rtnFileUrl,rtnThumbFileUrl,growthAra,growthHg,grwhTp,minTp,maxTp,grwtve,hd,minHd,maxHd,ignSeasonCode,ignSeason,lighttdemanddo,minLt,maxLt,managedemanddo,minPstPlc,maxPstPlc,toxcty,watercycleSprng,watercycleSummer,watercycleAutumn,watercycleWinter,minWinterTp,maxWinterTp,winterLwetTp
63,17751,무늬벤자민고무나무,https://nongsaro.go.kr/cms_contents/301/17751_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/17751_MF_REPR_ATTACH_01_TMB.jpg,100,150,21~25℃,21,25,0,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,2,0,300,0,3,3,3,4,13,,13℃ 이상
64,18575,무늬산호수,https://nongsaro.go.kr/cms_contents/301/18575_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18575_MF_ATTACH_01_TMB.jpg,30,30,21~25℃,21,25,1,40 ~ 70%,40,70,1100,"봄, 여름",800~10000 Lux,800,10000,2,0,300,2,3,3,3,4,,0,0℃ 이하
65,18576,무늬석창포,https://nongsaro.go.kr/cms_contents/301/18576_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18576_MF_ATTACH_01_TMB.jpg,30,30,21~25℃,21,25,0,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,1,0,300,0,2,2,2,4,,0,0℃ 이하
66,18593,무늬쉐플레라 홍콩,https://nongsaro.go.kr/cms_contents/301/18593_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18593_MF_REPR_ATTACH_01_TMB.jpg,80,150,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,300,0,3,3,3,4,13,,13℃ 이상
67,18596,무늬알피니아,https://nongsaro.go.kr/cms_contents/301/18596_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18596_MF_REPR_ATTACH_01_TMB.jpg,50,100,21~25℃,21,25,1,40 ~ 70%,40,70,1100,"봄, 여름",800~10000 Lux,800,10000,1,0,300,0,3,3,3,4,13,,13℃ 이상
68,18597,무늬유카,https://nongsaro.go.kr/cms_contents/301/18597_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18597_MF_ATTACH_01_TMB.jpg,50,150,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,2,50,150,0,3,3,3,4,7,7,7℃
69,18599,무늬접란,https://nongsaro.go.kr/cms_contents/301/18599_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18599_MF_REPR_ATTACH_01_TMB.jpg,40,40,21~25℃,21,25,1,40 ~ 70%,40,70,000,,800~10000 Lux,800,10000,2,0,300,0,3,3,3,4,13,,13℃ 이상
70,18600,무늬털머위,https://nongsaro.go.kr/cms_contents/301/18600_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18600_MF_ATTACH_01_TMB.jpg,40,40,16~20℃,16,20,1,40 ~ 70%,40,70,0110,"여름, 가을",800~10000 Lux,800,10000,1,0,300,0,3,3,3,3,5,5,5℃
71,18602,무늬팻츠헤데라,https://nongsaro.go.kr/cms_contents/301/18602_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18602_MF_REPR_ATTACH_01_TMB.jpg,40,50,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,300,0,3,3,3,4,5,5,5℃
72,18604,무늬푸밀라고무나무 ,https://nongsaro.go.kr/cms_contents/301/18604_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18604_MF_REPR_ATTACH_01_TMB.jpg,30,20,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,2,0,500,0,3,3,3,4,7,7,7℃
73,18649,뮤렌베키아,https://nongsaro.go.kr/cms_contents/301/18649_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18649_MF_REPR_ATTACH_01_TMB.jpg,30,30,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,1,50,500,0,3,3,3,4,10,10,10℃
74,18656,바위취,https://nongsaro.go.kr/cms_contents/301/18656_MF_ATTACH_02.jpg,https://nongsaro.go.kr/cms_contents/301/18656_MF_ATTACH_02_TMB.jpg,20,20,16~20℃,16,20,2,40 ~ 70%,40,70,0100,여름,800~10000 Lux,800,10000,2,0,300,0,3,3,3,4,,0,0℃ 이하
75,18659,박쥐란,https://nongsaro.go.kr/cms_contents/301/18659_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18659_MF_REPR_ATTACH_01_TMB.jpg,30,30,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,300,0,2,2,2,3,13,,13℃ 이상
76,18692,반딧불털머위,https://nongsaro.go.kr/cms_contents/301/18692_MF_ATTACH_03.jpg,https://nongsaro.go.kr/cms_contents/301/18692_MF_ATTACH_03_TMB.jpg,40,40,16~20℃,16,20,1,40 ~ 70%,40,70,0100,여름,800~10000 Lux,800,10000,2,0,300,0,3,3,3,3,5,5,5℃
77,18694,백량금,https://nongsaro.go.kr/cms_contents/301/18694_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18694_MF_ATTACH_01_TMB.jpg,40,90,16~20℃,16,20,1,40 ~ 70%,40,70,1100,"봄, 여름",300~1500 Lux,300,1500,2,0,,0,3,3,3,3,5,5,5℃
78,14915,백정화,https://nongsaro.go.kr/cms_contents/301/14915_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/14915_MF_ATTACH_01_TMB.jpg,40,50,16~20℃,16,20,1,40 ~ 70%,40,70,1100,"봄, 여름",800~10000 Lux,800,10000,3,50,150,0,3,3,3,4,5,5,5℃
